owner_record_id,record_type,owner_id,oc_name,oc_email,oc_affiliation,oc_contact_source,oc_contactability,oc_contact_issue_note,oc_eligible_projects,oc_projects_offered,oc_minutes_per_project,oc_est_total_minutes,oc_eoi_invite_date,oc_eoi_status,oc_eoi_response_date,oc_projects_accepted,oc_followup_date,oc_contact_suppression,oc_recruit_route,oc_sequence_pos,oc_supp_reason,oc_reconsent_required,oc_consent_withdrawal,oc_consent_withdraw_date,oc_link_eligible,oc_ack_permission,oc_ack_name,oc_ack_affiliation,oc_ack_permission_date,oc_ack_permission_source,pc_intro,pc_reason,pc_burden,pc_scope,pc_voluntary,pc_data,pc_withdrawal,pc_contact,pc_reference,pc_info_version,pc_decision,pc_decline_end,owner_assignment_id,source_record_id,official_project_id,project_title,datasets_used,public_register_url,production_ver,taxonomy_ver,proposal_output_sha256,owner_recruit_route,owner_sequence_pos,owner_invite_batch,owner_link_release,owner_invite_date,owner_reminder_date,owner_withdrawal_status,instrument_ver,prop_d01,prop_d02,prop_d03,prop_d04,prop_d05,prop_d06,prop_d07,prop_d08,prop_d09,prop_d10,prop_d11,prop_d12,prop_p01,prop_p02,prop_p03,prop_p04,prop_p05,prop_p06,prop_p07,prop_p08,prop_t01,prop_t02,po_intro,po_privacy,po_assignment,po_project_title,po_datasets,po_d01_label,po_d01_fit,po_d01_vis,po_d02_label,po_d02_fit,po_d02_vis,po_d03_label,po_d03_fit,po_d03_vis,po_d04_label,po_d04_fit,po_d04_vis,po_d05_label,po_d05_fit,po_d05_vis,po_d06_label,po_d06_fit,po_d06_vis,po_d07_label,po_d07_fit,po_d07_vis,po_d08_label,po_d08_fit,po_d08_vis,po_d09_label,po_d09_fit,po_d09_vis,po_d10_label,po_d10_fit,po_d10_vis,po_d11_label,po_d11_fit,po_d11_vis,po_d12_label,po_d12_fit,po_d12_vis,po_p01_label,po_p01_fit,po_p01_vis,po_p02_label,po_p02_fit,po_p02_vis,po_p03_label,po_p03_fit,po_p03_vis,po_p04_label,po_p04_fit,po_p04_vis,po_p05_label,po_p05_fit,po_p05_vis,po_p06_label,po_p06_fit,po_p06_vis,po_p07_label,po_p07_fit,po_p07_vis,po_p08_label,po_p08_fit,po_p08_vis,po_t01_label,po_t01_correct,po_t01_det,po_t02_label,po_t02_correct,po_t02_det,po_miss_domain,po_miss_domains,po_miss_purpose,po_miss_purposes,po_miss_tag,po_miss_tags,po_sufficiency,po_taxonomy_fit,po_tax_issue,po_note,po_nonpublic,po_nonpublic_note,po_quote_permission,po_other_comment
A1B2C3D4,1,SYN-OWNER-01,Avery Example,avery@example.invalid,Fictional Research Institute,2,1,,2,2,10,20,2026-07-01,2,2026-07-02,2,,0,1,1,,0,0,,,1,Avery Example,Fictional Research Institute,2026-07-04,Synthetic post-participation email,,,,,,,,,,owner-information-0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2C3D4E5,1,SYN-OWNER-02,Blair Example,blair@example.invalid,Fictional Research Institute,2,1,,2,2,10,20,2026-07-01,2,2026-07-02,2,,0,1,1,,0,0,,,0,,,,,,,,,,,,,,owner-information-0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3D4E5F6,1,SYN-OWNER-03,Casey Example,casey@example.invalid,Fictional Research Institute,2,1,,2,2,10,20,2026-07-01,2,2026-07-02,2,,0,1,1,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D4E5F6G7,1,SYN-OWNER-04,Devon Example,devon@example.invalid,Fictional Research Institute,2,1,,2,2,10,20,2026-07-01,2,2026-07-02,2,,0,1,1,,1,0,,,0,,,,,,,,,,,,,,owner-information-0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5F6G7H8,1,SYN-OWNER-05,Emery Example,emery@example.invalid,Fictional Research Institute,2,1,,2,2,10,20,2026-07-01,2,2026-07-02,2,,0,1,1,,0,2,2026-07-12,,0,,,,,,,,,,,,,,owner-information-0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F6G7H8J9,1,SYN-OWNER-06,Finley Example,finley@example.invalid,Fictional Research Institute,2,1,,2,2,10,20,2026-07-01,3,2026-07-02,,,1,1,1,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G7H8J9K2,1,SYN-OWNER-07,Gray Example,gray@example.invalid,Fictional Research Institute,2,1,,1,1,10,10,2026-07-01,2,2026-07-02,1,,0,2,,Synthetic supplementary coverage rationale fixed before contact.,0,0,,,0,,,,,,,,,,,,,,owner-information-0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H8J9K2L3,2,SYN-OWNER-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN-ASG-001,SYNTHETIC-RECORD-001,SYNTHETIC-PROJECT-001,Synthetic project review 1,Synthetic dataset 1,https://example.invalid/register/001,synthetic-production-1,dict-1.0-rc2,0000000000000000000000000000000000000000000000000000000000000001,1,1,1,2,2026-07-05,,0,owner-redcap-candidate-0.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J9K2L3M4,2,SYN-OWNER-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN-ASG-002,SYNTHETIC-RECORD-002,SYNTHETIC-PROJECT-002,Synthetic project review 2,Synthetic dataset 2,https://example.invalid/register/002,synthetic-production-1,dict-1.0-rc2,0000000000000000000000000000000000000000000000000000000000000002,1,2,1,2,2026-07-05,,0,owner-redcap-candidate-0.2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2L3M4N5,2,SYN-OWNER-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN-ASG-003,SYNTHETIC-RECORD-003,SYNTHETIC-PROJECT-003,Synthetic project review 3,Synthetic dataset 3,https://example.invalid/register/003,synthetic-production-1,dict-1.0-rc2,0000000000000000000000000000000000000000000000000000000000000003,1,3,1,0,,,0,owner-redcap-candidate-0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
